userName,score,at,content,pelabelan 3 kelas, 
Diki Cahya,5,2022-11-05 13:02:52,sangat bagus,positif,
Fikri Anggara,5,2022-11-05 13:00:42,Kok menu top up e berubah,netral,
donny tumiwa,5,2022-11-05 13:00:27,lancar dan mudah,positif,
Syamsul Arifin (piN't),1,2022-11-05 13:00:02,Kalo gini terus..kapan saya bisa tarik saldo ?😢🤧,negatif,
Siti Sofiyah,5,2022-11-05 12:59:32,update mulu ini,netral,
Sobirin Azmi,5,2022-11-05 12:59:06,istimewa,positif,
Ariyan Ferdiansyah,1,2022-11-05 12:58:46,Kok saya tidak bisa narik saldo Dana Bisnis ya ada tulisan Verifikasi gagal karena alasan keamanan,negatif,
Mislum Mislum2,5,2022-11-05 12:58:36,game yg bagus,netral,
Dirman Lesmana,5,2022-11-05 12:58:21,cukup puas transaksi gampang,positif,
Niko Rohadi,1,2022-11-05 12:57:52,System sibuk padahal sudah update. Why?,negatif,
Arsi Mila,4,2022-11-05 12:57:46,ok terimakasih,netral,
Habi Morta,5,2022-11-05 12:57:30,semoga aplikasi lebih baik lagi,netral,
Andri channel,5,2022-11-05 12:53:32,bagus,positif,
Selly Evianti Makikama,5,2022-11-05 12:52:28,membantu skali,positif,
Aceng Boceng,5,2022-11-05 12:50:58,sangat membantu mantap pokoknya,positif,
Mana Kutahu,5,2022-11-05 12:50:56,terMantabbbs,positif,
Saiful Rizal,1,2022-11-05 12:49:57,buruk.. gk bisa di buka.. Mau transfer slalu gagal.. Hapus aja lah,negatif,
Muchammad Erchan,5,2022-11-05 12:49:56,bagus,positif,
Dian Harjaka,5,2022-11-05 12:48:19,membantu,positif,
Al Machzumy,5,2022-11-05 12:47:23,useful,positif,
Nico Albian,3,2022-11-05 12:46:38,biarkan bintang yang bicara,netral,
Jambee Motor,5,2022-11-05 12:44:51,assalamualaikum semoga aplikasi dana ini bagus trus selamanya tidak ada gangguan apa pun. semoga di gampangkan milik rejekinya aamiin...,positif,
yulis saputra,5,2022-11-05 12:44:16,god job,netral,
Cantikahaer Cantikahaer,4,2022-11-05 12:43:47,bagus x cepett..,positif,
Pola Boy,1,2022-11-05 12:43:04,goooddd,positif,
Atang Hermawan,5,2022-11-05 12:40:52,dana top markotop selalu jadi andalan ku ....mantapppppp,positif,
Wulan Putri,5,2022-11-05 12:40:08,Btw mau nanya dong. Cara mengatasi memiliki permintaan upgrade akun yang sedang dalam proses verifikasi,netral,
saroni roni,5,2022-11-05 12:39:09,Oke,netral,
Aprillia Nurarfani,5,2022-11-05 12:37:48,sangat puas dan pengiriman cepat,positif,
Fauzan Nasrlloh,5,2022-11-05 12:37:32,aplikasi yang bagus,positif,
Annisa Nurhidayati,5,2022-11-05 12:37:04,aplikasinya mudah dgunakan ekonomis dan banyak pilihan transaksi,positif,
Nor Aziza,1,2022-11-05 12:37:00,Aplikasinya tidak bisa dibuka,negatif,
Karim Muwloh,5,2022-11-05 12:36:55,sangat oke sekali,positif,
Sholihin 94,1,2022-11-05 12:36:54,Apa yang terjadi dengan dana semalem masih bisa login sekarang enggak bisa kecewa sungguh sayang sekali pdhl sangat membantu masyarakat Indonesia,negatif,
Aris Nuryanto,1,2022-11-05 12:36:17,Apa² an ini setiap di upgrade gagal trus tp perintahnya gitu² trus udh 4 hri nyoba tetep aja ga bisa buat transfer buat ngirim sama aja ga guna udahan rugi aku top up,negatif,
My_ KONTAK,5,2022-11-05 12:36:14,mantap,positif,
Santang Wijaya,5,2022-11-05 12:36:09,Aman mantap. Sukses truss,positif,
ryan adheansyah,5,2022-11-05 12:35:55,aplikasi bagus buat transfer meskipun harus ke dana premium,positif,
Selvi Pbg,5,2022-11-05 12:35:44,sanggat bagus,positif,
ADAMI MUHAMMAD,1,2022-11-05 12:33:51,Ini bisa di login lagi apa tidak bisa login lagi. Jawab. Sudah ganti no HP nya sudah masuk smsnya OTP itu di artikan nomornya udah masuk ke akun saya pada bulan Agustus. Pada hari ini rebed sudah SMS ke imel nya udah tapi di balas jangan kasih orng lain itu OTP itu orng lain tapi saya tidak kasih orng lain cuma yang di SMS aja saya tahu nomornya. Gini aja bisa login apa tidak bisa lagi di artikan gak bisa lagi saya bingung jadi kasih aja kecewa iklan aja bagus teryata apa dat jawaban pun tdk ada,negatif,
yuli seftiana,1,2022-11-05 12:33:17,Sistem sibuk gimana si mau tf kaga bisaaa udh di update ttp aja gabisa.,negatif,
dwi ratna,5,2022-11-05 12:32:45,mantap,positif,
Sept1 Yant1,5,2022-11-05 12:32:34,dana keren,positif,
Tosiah Tosiah,3,2022-11-05 12:32:32,Baru mengenal merasa tertarik,netral,
Yayan Melodic,2,2022-11-05 12:29:12,Kenapa tidak bisa buat akun baru ya fast respon dong,negatif,
Entin Kartini,2,2022-11-05 12:27:10,Ok bagus...,positif,
Muhammad Raihan,5,2022-11-05 12:26:58,bagus sekali,positif,
Agung Wicaksana,5,2022-11-05 12:25:56,Aplikasi andalan. Ketika lgi sibuk ama kerjaan kita masih bisa membayar listrik bayar PDAM isi pulsa dll.. bintang 5 untuk apk ini👍,positif,
Kirso kuming,5,2022-11-05 12:25:26,Ya mksih,netral,
Alia Asyari,5,2022-11-05 12:24:28,ya sangat mendukung kegiatan,positif,
Nur Hasanah,5,2022-11-05 12:24:16,Mantap,positif,
Yusuf Ms,5,2022-11-05 12:24:12,Bagus dan simpel,positif,
Ratna Gumilar,5,2022-11-05 12:23:54,sangat membantu,positif,
Ali Munawar,5,2022-11-05 12:22:28,Dana lgi eror atau gmna ini dri tdi menunggu trus kirimnya tpi saldo udh kepotong,negatif,
Ras Stiadi,5,2022-11-05 12:22:27,mantap.. tp hp saya kentang memori sering penuh,positif,
Indra Stones,5,2022-11-05 12:20:41,Mantap dan sangat membantu,positif,
Dede Suherman,5,2022-11-05 12:20:32,sangat bagus dan sangat mudah tuk transaksi,positif,
Su T,5,2022-11-05 12:20:30,bagus bebas biaya admin,positif,
Ichsan Juara,4,2022-11-05 12:20:01,Sangat membantu transaksi gua,positif,
Ahmad Sanusi,5,2022-11-05 12:19:50,mantap,positif,
Belajar Berdiri sendiri,5,2022-11-05 12:19:50,ok,netral,
Erlivia Julia,5,2022-11-05 12:19:38,sangat membantu dan juga sangat memuaskan,positif,
Koko Sunandar,2,2022-11-05 12:19:20,Sekarang selalu gangguan mulu,negatif,
Aldi Renaldi,2,2022-11-05 12:18:12,karna akun pribadi di persulit sya kash bintang 2,negatif,
Kicak Kok,1,2022-11-05 12:17:53,Apk ini tidak bisa di upgrade di hp saya,negatif,
Fadhiljr 020,5,2022-11-05 12:14:50,sangat membantu,positif,
muhammad agusman,4,2022-11-05 12:13:30,sementara bintang 4 dlu. nnt ditambahi lg klo gk sering2 uninstal,netral,
HABYNAR,5,2022-11-05 12:13:20,good,positif,
Yusup Bachtiar,1,2022-11-05 12:13:15,Transaksi berhasil tapi tidak sampai ke no rekening tujuan di cek mutasi gak ada pengiriman bagaimana ini dana,negatif,
Threehayati Hayati,5,2022-11-05 12:13:07,bagus,positif,
Muhammad Arifin,5,2022-11-05 12:12:47,sangat membantu,positif,
Danial Rasyid,1,2022-11-05 12:11:40,tidak dapat mentransfer uang ke rekening,negatif,
endar martha,5,2022-11-05 12:11:18,app cepat,positif,
Arai Alvina,1,2022-11-05 12:10:25,Dikasih keluhan cuman iya iya doang diperbaiki mah kagak asuuu😡,negatif,
Anggit cahya Cahya,1,2022-11-05 12:08:29,Terlallu banyak .sistem sibuk malesin!!!!!,negatif,
paman gober,1,2022-11-05 12:07:57,Setiap ada event selalu something wrong mah apa mah Kalo niat Ngadain event jangan setengah2 kita udah verifikasi ktp tetep something wrong. Jgn buat event kalo kek gt Kecewa berat,negatif,
Nana Ruslan,5,2022-11-05 12:07:54,transfer isi pulsa top up cepat sangat bagus,positif,
Rizki Ramadhan,1,2022-11-05 12:04:56,Event 1.1 nya eror danapolly nya juga tulisannya no campaign padahal sampek tgl 8 tolong diperbaiki,negatif,
Achmad Suwento,1,2022-11-05 12:03:42,Untuk upgrade dana premium selalu gagal  parah,negatif,
Pipit Fitria asih jayanti,5,2022-11-05 12:02:26,bagus,positif,
Surtinih Tinih,1,2022-11-05 12:00:53,Kenapa sistem sibuk terus aduh gimana si,negatif,
Dika Tasdikin,5,2022-11-05 11:59:23,alhamdulilah terima kasih dana. selalu terpercaya.,positif,
Cahyadi,1,2022-11-05 11:59:07,Sangat tdk profesional dlm mengatasi/ menyelesaikan mslh utk gagal transaksi tdk bs auto refund dan mesti menunggu hingga tiada kabar,negatif,
arill Sahrilll,2,2022-11-05 11:58:26,Kok saya dapat 50k dari DANAPOLY ga cair min gmna sih,negatif,
Resti Agizni,5,2022-11-05 11:58:03,sangat mudah dalam bertransaksi,positif,
Ira Nurul aeni,3,2022-11-05 11:57:32,masih aman,netral,
aldi lampung,5,2022-11-05 11:57:23,Insallah mantap,positif,
Ulil Anwar,1,2022-11-05 11:57:04,Susah upload ktp ga sukses - sukses bikin premium,negatif,
Wandi Apriansyah,5,2022-11-05 11:55:58,tingkatkan lagi ..,netral,
S Riyaldi,1,2022-11-05 11:55:41,Knpa e-wallet dana skrng kaya gini sih error' Mulu apa karena perbaharuan sistem,negatif,
Sapril Hasibuan,5,2022-11-05 11:55:14,sangat membantu,positif,
Supini Supini,5,2022-11-05 11:53:59,sangat bermanfaat,positif,
Vicky Inzalex,5,2022-11-05 11:53:52,Good,positif,
Marwah Safa,5,2022-11-05 11:53:43,mantap,positif,
Marvel Nathan,1,2022-11-05 11:52:53,Game goama bohong dpat Rp 50k tp gak muncul bacaan  selamat anda mendapatkan Rp 50k ,netral,
Ndes Ayey,5,2022-11-05 11:52:50,bagus,positif,
Siti Aminah,5,2022-11-05 11:52:38,sangat berguna dan membantu,positif,
Ahmad Amir,5,2022-11-05 11:52:14,oke,netral,
Sri Harwoto,5,2022-11-05 11:52:14,Aku suka. jadi punya tabungan g ribet,positif,
AMAL RISKI,3,2022-11-05 11:52:07,yap,netral,
Muhamad_ Rafli,5,2022-11-05 11:51:49,bikin mudah,netral,
Novita Sari,5,2022-11-05 11:51:34,Mantap,positif,
Imam Asyari,5,2022-11-05 11:51:32,Bagus banget......,positif,
Doni Setiadi,1,2022-11-05 11:50:00,Ayolah dana sampai kapan transaksi ditunda. Uang hilang transaksi macet. Kalau emang gk bisa kembalikan saldonya jangan berlarut - larut. Sudah 5 hari tidak kunjung kembali. Laporan lewat email jg hanya disuruh menunggu. Parah2.,negatif,
Fadli Basri,5,2022-11-05 11:48:27,good,positif,
Rahmat Fauzi,1,2022-11-05 11:46:32,Sangat buruk saya sudah Update ke premium sudah sering melakukan transaksi sekarang tiba tiba gagal premium mau di Update lagi susah sudah seminggu gagal terus,negatif,
Iwan Ahmad,5,2022-11-05 11:46:20,good,positif,
Crystal Ameera,5,2022-11-05 11:46:11,Ok,netral,
Andika Prabowo,1,2022-11-05 11:44:56,Awalnya bagus dulu sekarang² menjadi jelek buat transfer dari dana ke luar selalu gagal Jaringan Sibuk,netral,
Idm Kdr,1,2022-11-05 11:44:55,Bikin darting. lemot,negatif,
Agus Rian,5,2022-11-05 11:44:22,aplikasinya bagus,positif,
Arwan Jr,5,2022-11-05 11:44:00,good,positif,
Muhammad Syafiq,5,2022-11-05 11:43:56,Muhammad syafiaq,netral,
rian tjoe,1,2022-11-05 11:43:40,Sudah 22 jam dari pemesanan. Sampai saat ini pulsanya belum masuk. Keterangannya sedang dalam proses. Tetapi tidak ada tanggapan lagi,negatif,
anisah ayu yuliyanti,1,2022-11-05 11:43:35,Tiap kali masuk pasti disuruh hubungi customer service 👎🏼,negatif,
Enjeli P.zaelani,1,2022-11-05 11:43:10,payah narik saldo ggl trus,negatif,
ana log,1,2022-11-05 11:43:06,Danapoly lemot gak niat bikjn game,netral,
Subakti Aryo,4,2022-11-05 11:41:04,keren,positif,
Ok Yes,5,2022-11-05 11:40:31,sangat membantu sekali,positif,
Teguh Trianto,5,2022-11-05 11:40:25,Perbaiki lagih dong,netral,
Indra Ysp,1,2022-11-05 11:39:37,11 danapoly gwe dikerjain sejam muter2 doang.,netral,
qwerty ytrewq,1,2022-11-05 11:38:58,Isiin gw saldo 1jt nanti gw kasih bintang 5,netral,
Alta Bata,5,2022-11-05 11:38:54,mudah dan terpercaya,positif,
Inuel Khusnul,5,2022-11-05 11:38:06,i like it,positif,
Milea adnan husein,5,2022-11-05 11:37:54,bagus aplikasinya,positif,
Aqil Rayyan,4,2022-11-05 11:37:26,ok deh,netral,
Febi Yanti,5,2022-11-05 11:37:22,ok,netral,
Khoerun Masbro,1,2022-11-05 11:36:55,kenapa akon dana saya gak bisa di buka,negatif,
RAFI ASRULI,5,2022-11-05 11:36:42,gg,positif,
Babang Kecil,5,2022-11-05 11:36:21,cukup puas,netral,
Rohman,5,2022-11-05 11:35:38,bangun dan membantu,positif,
Basuki Widayat,1,2022-11-05 11:35:18,Makin lama makin cacat ini aplikasi,negatif,
arvid donorojo,5,2022-11-05 11:35:05,jossss,positif,
Agus,4,2022-11-05 11:32:50,Sudah bagus. Pemakai apk Dana sudah banyak tolong gratis tranfer kalau bisa di tambah ya biar transaksi tranfer lebih banyak dan pelanggan puas. Terima kasih.,positif,
bandi winarno,5,2022-11-05 11:32:24,sangat keren,positif,
Sus jaya Putra,4,2022-11-05 11:32:17,mantap smoga proses nya selalu cepat dan jika ada masalah smoga selalu bisa membantu yg mengalami masalah mantap,positif,
Slamet Riyadi,5,2022-11-05 11:31:41,Semakin maju dana,netral,
Andri Hermawan,1,2022-11-05 11:31:28,Mau transaksi aja sulitnya minta ampun nih apk sistem sibuk terus kacau,negatif,
Tate Sutisna,5,2022-11-05 11:31:18,ada apa dengan aplikasi ini,netral,
Daftar Akun,5,2022-11-05 11:31:18,Ok,netral,
Mahyudi Yudi,5,2022-11-05 11:30:59,cukup memuas kn mkasih aplikasi,netral,
Sumadi,2,2022-11-05 11:30:42,Gimana mau ikutan nambah banyak poin menunya aja di klik cuma loading doang gak bisa kebuka..,negatif,
Kusnia Sabela,5,2022-11-05 11:29:41,alhamdulilah menolong,positif,
Muhamad Syabil,4,2022-11-05 11:28:41,tolong min limit isi saldo dana nya di tambah lagi,netral,
Rizal01 gaming,1,2022-11-05 11:27:24,Hadeh Kok Dana Gw Ke Bekuu Ee Pdhl Gw Jrng Liat dana pas buka dana malah ke Bekuu ee,negatif,
Effendi Shaputra,5,2022-11-05 11:26:57,kenapa ini aplikasinya,netral,
Rahmad Bengkulu,5,2022-11-05 11:25:56,Kenapa saya tidak bisa masuk ke aplikasi dana saya,netral,
Catur Meysarah attalah,5,2022-11-05 11:25:42,good,positif,
Nasrudin Heri,5,2022-11-05 11:24:45,sangat normal,netral,
Kardini. Abm Kardini. Abm,5,2022-11-05 11:22:16,Bguss bgt,positif,
Nahjil Rasyid,1,2022-11-05 11:21:49,Saya beli paket data udah 3 hari gamasuk saldo tidak ada pulsa data tidak masuk tidak ada penyelesaian nya hubungi cs tidak direspon tolong jangan makanin duit orang miskin terus korban nya banyak bukan cuman saya,negatif,
Abdul Syafei9,5,2022-11-05 11:21:48,mantapppp,positif,
Toxic Cilik,1,2022-11-05 11:19:44,Setelah di update malah aneh jadi nya ga bisa isi saldo transaksi ngga bisa dasar apk aneh buruk sangat buruk kalo apk ini udah normal baru saya tambahin bintang,negatif,
herry Heryana,4,2022-11-05 11:18:44,Belum paham seluruhnya tapi mudahan bnyak kebaikan di sini,netral,
Al Azhar,4,2022-11-05 11:18:18,app nya biasa aja,netral,
Les renang Pekalongan,5,2022-11-05 11:17:46,mantap,positif,
iwan Datuk,5,2022-11-05 11:17:31,mantap sangat membantu,positif,
Adi Jayaabadi,4,2022-11-05 11:17:15,bayar,netral,
Syiha Cahya,1,2022-11-05 11:16:11,Masi blum bisa kluar masuk2 ajh,negatif,
sahry Ramadhan,5,2022-11-05 11:15:44,Sangat mudah cara gunanya,positif,
Laras Minteun05,5,2022-11-05 11:14:41,sangat baik pisan,positif,
Salman Alfarizi,3,2022-11-05 11:14:16,makasih,netral,
Ganta Saputra,1,2022-11-05 11:14:13,Susah njir masuk kode otp ganti sandi ganguan trs,negatif,
Indra Kesuma,5,2022-11-05 11:12:39,gimana aktifin akun dana saya,netral,
Cep Dadang,5,2022-11-05 11:12:32,sangat bisa digunakan,positif,
Lativa Avha,5,2022-11-05 11:12:23,terbaik transaksi dengan gratis,positif,
mamun tarabalaga,5,2022-11-05 11:12:15,kooperatif app,positif,
Rusdy Oxigen,5,2022-11-05 11:09:53,sangat membantu,positif,
Abdul Gofur,3,2022-11-05 11:09:48,iya,netral,
Hendi Ariyanto,5,2022-11-05 11:08:42,Maaf bosku saya ingin membuat dana premium kok tidak bisa ya bosku gagal trs,negatif,
Ahmad Roni,5,2022-11-05 11:07:58,Cara komunikasi dengan dana gimana ya boskuh,netral,
Ivan Tayo,1,2022-11-05 11:07:36,apk ini semakin busuk setiap mau transaksi selalu sistem sedang sibuk. sudah 1bulan uang sayah tertahan di apk dana buat beli pulsa tidak bisa apa lagi buat transfer. yg mau download atau top up ke dana lebih baik jangan nanti nasib nya sama seperti saya uang tertahan tidak bisa di ambil gak ada costemer pula,negatif,
Iis Aisah,4,2022-11-05 11:06:28,cukup bagus,netral,
muhamad gita,5,2022-11-05 11:04:57,Hehehe,netral,
Mia25 Pku,1,2022-11-05 11:01:06,Dari pagi aplikasi ini tidak bisa di buka dana saya ketahan tidak bisa di gunakan ???,negatif,
areumdaeun _95,5,2022-11-05 11:00:11,Good,positif,
Nada Putri,5,2022-11-05 10:57:32,apk bagus mempermudah saya bertransaksi,positif,
Azka putra,3,2022-11-05 10:57:17,applikasi normal aja,netral,
Ono Karsono,4,2022-11-05 10:57:02,pembaruan terus,netral,
Adi Vanz,5,2022-11-05 10:54:57,biar kn bintang yg menjawab,netral,
Boy Night,1,2022-11-05 10:54:25,Tolong dong kalau bisa kirim kode OTP lewat via GMAIL karena saya tidak menggunakan jaringan seluler saya hanya menggunakan jaringan LAN/ Wifi plis.i'm stay 1 star,negatif,
Raman noor Maman,5,2022-11-05 10:54:11,Aplikasih bagus,positif,
Ata Riski,4,2022-11-05 10:53:38,menarik,netral,
juanda Nawawi,1,2022-11-05 10:51:53,mulai gk nyaman nih pake akun dana.,negatif,
Yoga Prasetiyo,1,2022-11-05 10:51:27,Jelek bgt sistem sibuk terus klo gini terus beralih ke aplikasi lain,negatif,
Bakhsam sukmajaya,4,2022-11-05 10:51:47,seperti aplikasi lainnya,netral,
